"time (s)","VT("/vhold") (V)"
0.00000,0.00000
1.0E-8,4.712E-14
3.0E-8,3.299E-13
7.0E-8,1.272E-12
1.5E-7,5.419E-12
3.1E-7,2.276E-11
6.3E-7,9.362E-11
1.01E-6,2.404E-10
1.02E-6,4.756E-6
1.03E-6,9.839E-6
1.043E-6,1.581E-5
1.055E-6,2.175E-5
1.079E-6,3.382E-5
1.127E-6,5.878E-5
1.223E-6,1.119E-4
1.416E-6,2.311E-4
1.708E-6,4.448E-4
2.0E-6,6.978E-4
2.010E-6,0.09399
2.017E-6,0.09399
2.026E-6,0.09399
2.034E-6,0.09399
2.051E-6,0.09399
2.084E-6,0.09399
2.151E-6,0.09399
2.284E-6,0.09399
2.551E-6,0.09399
3.010E-6,0.09399
3.02E-6,0.09400
3.031E-6,0.09400
3.043E-6,0.09401
3.055E-6,0.09401
3.079E-6,0.09402
3.128E-6,0.09405
3.224E-6,0.09410
3.418E-6,0.09422
3.709E-6,0.09443
4.0E-6,0.09468
4.01E-6,0.1865
4.017E-6,0.1865
4.026E-6,0.1865
4.034E-6,0.1865
4.051E-6,0.1865
4.085E-6,0.1865
4.152E-6,0.1865
4.286E-6,0.1865
4.555E-6,0.1865
5.01E-6,0.1865
5.020E-6,0.1865
5.031E-6,0.1865
5.043E-6,0.1865
5.055E-6,0.1865
5.08E-6,0.1865
5.129E-6,0.1866
5.228E-6,0.1866
5.424E-6,0.1867
5.712E-6,0.1869
6.0E-6,0.1872
6.01E-6,0.2761
6.018E-6,0.2761
6.026E-6,0.2761
6.035E-6,0.2761
6.052E-6,0.2761
6.086E-6,0.2761
6.154E-6,0.2761
6.291E-6,0.2761
6.564E-6,0.2761
7.01E-6,0.2761
7.020E-6,0.2761
7.031E-6,0.2761
7.044E-6,0.2761
7.056E-6,0.2761
7.082E-6,0.2761
7.132E-6,0.2761
7.233E-6,0.2762
7.434E-6,0.2763
7.717E-6,0.2765
8.0E-6,0.2767
8.01E-6,0.3613
8.015E-6,0.3613
8.02E-6,0.3613
8.022E-6,0.3613
8.026E-6,0.3613
8.028E-6,0.3613
8.03E-6,0.3613
8.032E-6,0.3613
8.034E-6,0.3613
8.036E-6,0.3613
8.041E-6,0.3613
8.049E-6,0.3613
8.067E-6,0.3613
8.102E-6,0.3613
8.172E-6,0.3613
8.312E-6,0.3613
8.591E-6,0.3613
9.01E-6,0.3613
9.02E-6,0.3613
9.031E-6,0.3613
9.045E-6,0.3613
9.058E-6,0.3613
9.084E-6,0.3613
9.136E-6,0.3614
9.24E-6,0.3614
9.449E-6,0.3615
9.724E-6,0.3617
1.0E-5,0.3619
1.001E-5,0.4408
1.002E-5,0.4408
1.003E-5,0.4408
1.004E-5,0.4408
1.005E-5,0.4408
1.009E-5,0.4408
1.016E-5,0.4408
1.031E-5,0.4408
1.06E-5,0.4408
1.101E-5,0.4408
1.102E-5,0.4408
1.103E-5,0.4408
1.105E-5,0.4408
1.106E-5,0.4409
1.109E-5,0.4409
1.114E-5,0.4409
1.125E-5,0.4409
1.147E-5,0.4410
1.173E-5,0.4412
1.2E-5,0.4414
1.201E-5,0.5134
1.202E-5,0.5134
1.203E-5,0.5134
1.204E-5,0.5134
1.206E-5,0.5134
1.209E-5,0.5134
1.217E-5,0.5134
1.232E-5,0.5134
1.263E-5,0.5134
1.301E-5,0.5134
1.302E-5,0.5134
1.303E-5,0.5134
1.305E-5,0.5134
1.306E-5,0.5134
1.309E-5,0.5134
1.315E-5,0.5135
1.327E-5,0.5135
1.35E-5,0.5136
1.375E-5,0.5137
1.400E-5,0.5139
1.401E-5,0.5779
1.402E-5,0.5779
1.402E-5,0.5779
1.403E-5,0.5779
1.403E-5,0.5779
1.403E-5,0.5779
1.404E-5,0.5779
1.404E-5,0.5779
1.404E-5,0.5779
1.405E-5,0.5779
1.408E-5,0.5779
1.412E-5,0.5779
1.421E-5,0.5779
1.438E-5,0.5779
1.473E-5,0.5779
1.501E-5,0.5779
1.502E-5,0.5779
1.503E-5,0.5779
1.505E-5,0.5779
1.507E-5,0.5779
1.51E-5,0.5779
1.516E-5,0.5779
1.529E-5,0.5780
1.554E-5,0.5781
1.6E-5,0.5783
1.601E-5,0.6332
1.602E-5,0.6332
1.603E-5,0.6332
1.604E-5,0.6332
1.606E-5,0.6332
1.611E-5,0.6332
1.62E-5,0.6332
1.637E-5,0.6332
1.672E-5,0.6332
1.701E-5,0.6332
1.702E-5,0.6332
1.704E-5,0.6333
1.706E-5,0.6333
1.708E-5,0.6333
1.712E-5,0.6333
1.72E-5,0.6333
1.735E-5,0.6333
1.767E-5,0.6335
1.8E-5,0.6336
1.801E-5,0.6786
1.802E-5,0.6786
1.803E-5,0.6786
1.805E-5,0.6786
1.807E-5,0.6786
1.812E-5,0.6786
1.822E-5,0.6786
1.841E-5,0.6786
1.871E-5,0.6786
1.901E-5,0.6786
1.902E-5,0.6786
1.904E-5,0.6786
1.906E-5,0.6786
1.908E-5,0.6786
1.913E-5,0.6786
1.921E-5,0.6787
1.939E-5,0.6787
1.973E-5,0.6788
2.0E-5,0.6789
2.001E-5,0.7133
2.002E-5,0.7133
2.004E-5,0.7133
2.005E-5,0.7133
2.008E-5,0.7133
2.014E-5,0.7133
2.025E-5,0.7133
2.048E-5,0.7133
2.074E-5,0.7133
2.101E-5,0.7133
2.102E-5,0.7133
2.104E-5,0.7133
2.107E-5,0.7133
2.109E-5,0.7133
2.114E-5,0.7133
2.124E-5,0.7133
2.144E-5,0.7134
2.172E-5,0.7134
2.2E-5,0.7135
2.201E-5,0.7367
2.203E-5,0.7367
2.205E-5,0.7367
2.207E-5,0.7367
2.211E-5,0.7367
2.219E-5,0.7367
2.235E-5,0.7367
2.266E-5,0.7367
2.301E-5,0.7367
2.302E-5,0.7367
2.304E-5,0.7367
2.308E-5,0.7367
2.311E-5,0.7367
2.318E-5,0.7367
2.331E-5,0.7367
2.357E-5,0.7368
2.4E-5,0.7368
2.401E-5,0.7485
2.403E-5,0.7485
2.406E-5,0.7485
2.408E-5,0.7485
2.414E-5,0.7485
2.424E-5,0.7485
2.445E-5,0.7485
2.473E-5,0.7485
2.501E-5,0.7485
2.502E-5,0.7485
2.504E-5,0.7485
2.508E-5,0.7485
2.514E-5,0.7485
2.525E-5,0.7485
2.547E-5,0.7485
2.574E-5,0.7485
2.6E-5,0.7485
2.601E-5,0.7485
2.603E-5,0.7485
2.607E-5,0.7485
2.615E-5,0.7485
2.631E-5,0.7485
2.663E-5,0.7485
2.701E-5,0.7485
2.702E-5,0.7485
2.704E-5,0.7485
2.708E-5,0.7485
2.712E-5,0.7485
2.72E-5,0.7485
2.735E-5,0.7485
2.766E-5,0.7485
2.800E-5,0.7484
2.801E-5,0.7367
2.803E-5,0.7367
2.806E-5,0.7367
2.808E-5,0.7367
2.814E-5,0.7367
2.824E-5,0.7367
2.845E-5,0.7367
2.873E-5,0.7367
2.901E-5,0.7367
2.902E-5,0.7367
2.904E-5,0.7367
2.908E-5,0.7367
2.911E-5,0.7367
2.917E-5,0.7367
2.928E-5,0.7367
2.952E-5,0.7366
2.976E-5,0.7366
3.0E-5,0.7366
3.001E-5,0.7133
3.003E-5,0.7133
3.005E-5,0.7133
3.007E-5,0.7133
3.011E-5,0.7133
3.019E-5,0.7133
3.035E-5,0.7133
3.067E-5,0.7133
3.101E-5,0.7133
3.102E-5,0.7133
3.104E-5,0.7133
3.106E-5,0.7133
3.109E-5,0.7133
3.113E-5,0.7133
3.123E-5,0.7133
3.141E-5,0.7132
3.17E-5,0.7131
3.2E-5,0.7130
3.201E-5,0.6786
3.202E-5,0.6786
3.204E-5,0.6786
3.205E-5,0.6786
3.208E-5,0.6786
3.214E-5,0.6786
3.225E-5,0.6786
3.248E-5,0.6786
3.274E-5,0.6786
3.301E-5,0.6786
3.302E-5,0.6786
3.304E-5,0.6786
3.306E-5,0.6786
3.308E-5,0.6786
3.312E-5,0.6786
3.320E-5,0.6786
3.337E-5,0.6785
3.37E-5,0.6784
3.4E-5,0.6783
3.401E-5,0.6332
3.402E-5,0.6332
3.403E-5,0.6332
3.405E-5,0.6332
3.407E-5,0.6332
3.412E-5,0.6332
3.422E-5,0.6332
3.441E-5,0.6332
3.471E-5,0.6332
3.501E-5,0.6332
3.502E-5,0.6332
3.503E-5,0.6332
3.505E-5,0.6332
3.507E-5,0.6332
3.510E-5,0.6332
3.517E-5,0.6332
3.530E-5,0.6332
3.556E-5,0.6331
3.6E-5,0.6328
3.601E-5,0.5779
3.602E-5,0.5779
3.603E-5,0.5779
3.604E-5,0.5779
3.606E-5,0.5779
3.611E-5,0.5779
3.62E-5,0.5779
3.637E-5,0.5779
3.672E-5,0.5779
3.701E-5,0.5779
3.702E-5,0.5779
3.703E-5,0.5779
3.705E-5,0.5779
3.706E-5,0.5779
3.709E-5,0.5779
3.715E-5,0.5778
3.727E-5,0.5778
3.752E-5,0.5777
3.776E-5,0.5776
3.800E-5,0.5774
3.801E-5,0.5134
3.802E-5,0.5134
3.802E-5,0.5134
3.803E-5,0.5134
3.803E-5,0.5134
3.803E-5,0.5134
3.804E-5,0.5134
3.804E-5,0.5134
3.804E-5,0.5134
3.805E-5,0.5134
3.808E-5,0.5134
3.812E-5,0.5134
3.821E-5,0.5134
3.838E-5,0.5134
3.873E-5,0.5134
3.901E-5,0.5134
3.902E-5,0.5134
3.903E-5,0.5134
3.905E-5,0.5134
3.906E-5,0.5134
3.909E-5,0.5134
3.914E-5,0.5134
3.926E-5,0.5133
3.948E-5,0.5132
3.974E-5,0.5131
4.0E-5,0.5129
4.001E-5,0.4408
4.002E-5,0.4408
4.003E-5,0.4408
4.004E-5,0.4408
4.006E-5,0.4408
4.009E-5,0.4408
4.017E-5,0.4408
4.032E-5,0.4408
4.063E-5,0.4408
4.101E-5,0.4408
4.102E-5,0.4408
4.103E-5,0.4408
4.105E-5,0.4408
4.106E-5,0.4408
4.109E-5,0.4408
4.114E-5,0.4408
4.125E-5,0.4407
4.146E-5,0.4406
4.173E-5,0.4405
4.2E-5,0.4403
4.201E-5,0.3613
4.202E-5,0.3613
4.203E-5,0.3613
4.204E-5,0.3613
4.205E-5,0.3613
4.209E-5,0.3613
4.216E-5,0.3613
4.231E-5,0.3613
4.26E-5,0.3613
4.301E-5,0.3613
4.302E-5,0.3613
4.303E-5,0.3613
4.304E-5,0.3613
4.306E-5,0.3613
4.308E-5,0.3613
4.313E-5,0.3613
4.324E-5,0.3612
4.344E-5,0.3611
4.372E-5,0.3609
4.4E-5,0.3607
4.401E-5,0.2761
4.402E-5,0.2761
4.402E-5,0.2761
4.402E-5,0.2761
4.403E-5,0.2761
4.403E-5,0.2761
4.403E-5,0.2761
4.403E-5,0.2761
4.403E-5,0.2761
4.404E-5,0.2761
4.404E-5,0.2761
4.405E-5,0.2761
4.407E-5,0.2761
4.41E-5,0.2761
4.417E-5,0.2761
4.431E-5,0.2761
4.459E-5,0.2761
4.501E-5,0.2761
4.502E-5,0.2761
4.503E-5,0.2761
4.504E-5,0.2761
4.506E-5,0.2761
4.508E-5,0.2761
4.513E-5,0.2760
4.523E-5,0.2760
